name,singer,lyric
Tuyết Rơi Mùa Hè,Quang Dũng,"Nếu anh gặp em từ đầu. Có lẽ đã không ai qua bể dâu. Nếu anh được sống từ đầu. Vẫn muốn bên em như thời thơ ấu. Nếu mai rời xa nhìn lại. Trong giấc mơ anh. Em sẽ hiện ra. Như tuyết mùa hè rạng ngời. Trong màu áo trắng phau. Nếu em rồi ở lại, anh sẽ biết yêu. Em hơn ngày xưa. Nếu những màu sắc nhạt dần. Anh sẽ vẽ em với màu nỗi nhớ. Và nếu thời gian trở lại. Thì những nhánh sông. Hay bao con đường. Cũng sẽ dẫn về. Một ngày anh chờ em. Vì ngày em đến. Là ngày tuyết rơi mùa hè. Bầu trời lấp lánh. Những cánh hoa như sao tỏa bay. Và dù anh có trẻ lại. Vẫn nguyên lời thề. Vì màu nơ trắng em cài. Là hoa tuyết không tàn. Nếu em rồi ở lại, anh sẽ biết yêu. Em hơn ngày xưa. Nếu những màu sắc nhạt dần. Anh sẽ vẽ em với màu nỗi nhớ. Và nếu thời gian trở lại. Thì những nhánh sông. Hay bao con đường. Cũng sẽ dẫn về. Một ngày anh chờ em. Vì ngày em đến. Là ngày tuyết rơi mùa hè. Bầu trời lấp lánh. Những cánh hoa như sao tỏa bay. Và dù anh có trẻ lại. Vẫn nguyên lời thề. Vì màu nơ trắng em cài. Là hoa tuyết không tàn. Vì ngày em đến. Là ngày tuyết rơi mùa hè. Bầu trời lấp lánh. Những cánh hoa như sao tỏa bay. Và dù anh có trẻ lại. Vẫn nguyên lời thề. Vì màu nơ trắng em cài. Là hoa tuyết không tàn"
Mưa Mùa Hè,Tống Gia Vỹ,Bài Hát: Mưa Mùa Hè. Ca Sĩ: Tống Gia Vỹ. Ngày mai anh đi. Sẽ không còn ai. Dỗi hờn. Sẽ không còn ai. Lau nước mắt. Cho em. Và sẽ không có ai. Vui đùa khi ta. Dạo phố. Cùng ngắm ánh sao trời. Mỗi đêm. Ngày mai anh đi. Lẻ loi mình em ở lại. Phút giây từ biệt. Giọt nước mắt. Tuôn rơi. Đừng khóc nữa hỡi em. Dẫu muôn trùng ta xa cách. Nhưng ta mãi nhớ nhau. Người ơi. Đêm chia ly. Sao mùa hè. Mưa cứ rơi. Nhìn nhau phút cuối. Nỗi nhớ thương đầy vơi. Ngày mai. Mỗi đứa một nơi. Tình chia phôi. Hai lối đời. Biết đến bao giờ. Gặp nhau nữa. Đêm chia ly. Sao mùa hè. Mưa cứ rơi. Nụ hôn bối rối. Phút giây xa. Mù khơi. Giọt lệ vương trên bờ môi. Tình xa xôi nơi cuối trời. Người đi kẻ ở. Vấn vương sầu. Biệt ly. Ngày mai anh đi. Sẽ không còn ai. Dỗi hờn. Sẽ không còn ai. Lau nước mắt. Cho em. Và sẽ không có ai. Vui đùa khi ta. Dạo phố. Cùng ngắm ánh sao trời. Mỗi đêm. Ngày mai anh đi. Lẻ loi mình em ở lại. Phút giây từ biệt. Giọt nước mắt. Tuôn rơi. Đừng khóc nữa hỡi em. Dẫu muôn trùng ta xa cách. Nhưng ta mãi nhớ nhau. Người ơi. Đêm chia ly. Sao mùa hè. Mưa cứ rơi. Nhìn nhau phút cuối. Nỗi nhớ thương đầy vơi. Ngày mai. Mỗi đứa một nơi. Tình chia phôi. Hai lối đời. Biết đến bao giờ. Gặp nhau nữa. Đêm chia ly. Sao mùa hè. Mưa cứ rơi. Nụ hôn bối rối. Phút giây xa. Mù khơi. Giọt lệ vương trên bờ môi. Tình xa xôi nơi cuối trời. Người đi kẻ ở. Vấn vương sầu. Biệt ly. Đêm chia ly. Sao mùa hè. Mưa cứ rơi. Nhìn nhau phút cuối. Nỗi nhớ thương đầy vơi. Ngày mai. Mỗi đứa một nơi. Tình chia phôi. Hai lối đời. Biết đến bao giờ. Gặp nhau nữa. Đêm chia ly. Sao mùa hè. Mưa cứ rơi. Nụ hôn bối rối. Phút giây xa. Mù khơi. Giọt lệ vương trên bờ môi. Tình xa xôi nơi cuối trời. Người đi kẻ ở. Vấn vương sầu. Biệt ly. Giọt lệ vương trên bờ môi. Tình xa xôi nơi cuối trời. Người đi kẻ ở. Vấn vương sầu biệt ly
Vĩnh Biệt Mùa Hè,Ngọc Anh,Mùa hè bâng quơ. Bâng quơ nỗi nhớ. Những chiếc lá non. Vương trên cành cây khô.. Mùa hè bâng khuâng hoài. Để tim xốn xang hoài. Và lòng ta vẫn như. Đang chờ bóng ai. Cuộc tình bâng quơ. Đến trong ngày bơ vơ. Gieo bao đớn đau. Cho tâm hồn ngây thơ. Mùa hè đi qua rồi. Tình yêu cũng qua rồi. Chỉ còn nước mắt. Vương trên bờ môi. Vĩnh biệt mùa hè. Mùa hè còn ấm môi hôn. Ai khi đêm về. Vĩnh biệt mùa hè. Mùa hè cho con tim ta. Biết bao say mê. Vĩnh biệt tình đầu. Tình đầu là cơn giông. Chợt qua mau qua mau. Vĩnh biệt tình đầu. Tình làm con tim ta đớn đau. Mùa hè bâng quơ. Bâng quơ nỗi nhớ. Những chiếc lá non. Vương trên cành cây khô.. Mùa hè bâng khuâng hoài. Để tim xốn xang hoài. Và lòng ta vẫn như. Đang chờ bóng ai. Cuộc tình bâng quơ. Đến trong ngày bơ vơ. Gieo bao đớn đau. Cho tâm hồn ngây thơ. Mùa hè đi qua rồi. Tình yêu cũng qua rồi. Chỉ còn nước mắt. Vương trên bờ môi. Vĩnh biệt mùa hè. Mùa hè còn ấm môi hôn. Ai khi đêm về. Vĩnh biệt mùa hè. Mùa hè cho con tim ta. Biết bao say mê. Vĩnh biệt tình đầu. Tình đầu là cơn giông. Chợt qua mau qua mau. Vĩnh biệt tình đầu. Tình làm con tim ta đớn đau. Vĩnh biệt mùa hè. Mùa hè còn ấm môi hôn. Ai khi đêm về. Vĩnh biệt mùa hè. Mùa hè cho con tim ta. Biết bao say mê. Vĩnh biệt tình đầu. Tình đầu là cơn giông. Chợt qua mau qua mau. Vĩnh biệt tình đầu. Tình làm con tim ta đớn đau
Mùa Hè Đừng Sầu Muộn,Nguyễn Ngọc Anh,"Mùa hè có giữ chân tôi ở đây. Rót cho tôi ly nước đầy. Mùa hè có chiếm tim tôi. Hè có thấy bao rêu xanh. Phủ quanh bên lối mong chờ?. Ngây ngô tuổi nào?. Yêu anh tuổi nào?. Đừng mặc cho tôi. Chiếc áo nhà tu, tôi hư, tôi rất hư. Rất hư, rất hư. Ù ú u u ù. Mùa hè mang nắng. Reo vui đường trưa. Cho tôi bóng râm đứng chờ. Mùa hè có chiếm tim tôi. Thì nhớ nhé, hãy cho tôt đùa vui. Cho tôi hư, một chút thôi. Chớ có sầu muộn. Chớ có ngại ngùng. Giờ là mùa hè, thời gian rong chơi. Nghe trái tim ta phập phồng. Ù ú u u ù. Lại đây, hãy lại đây, đừng giấu. Con tim anh đang muốn gần. Gọi tôi, gánh giúp tình ngàn cân. (Hãy) Nói về tình yêu, khi mùa hè. (Hãy nói về) Nụ hôn, khi mùa hè. Cùng tôi hát những lời kinh thơ trẻ. Mùa phượng bay. Vừa soi bóng ly nước đầy. Ngày hôm nay, sẽ không trở lại. Thời gian đi, cho lũ rêu úa xanh. Những lời mong chờ. Mùa hè ơi, tôi rất hư. Anh rất hư, nếu ta cứ chần chừ. Mùa hè mang nắng. Reo vui đường trưa. Cho tôi bóng râm đứng chờ. Mùa hè có chiếm tim tôi. Thì nhớ nhé, hãy cho tôt đùa vui. Cho tôi hư, một chút thôi. Chớ có sầu muộn. Chớ có ngại ngùng. Giờ là mùa hè, thời gian rong chơi. Nghe trái tim ta phập phồng. Ù ú u u ù. Lại đây, hãy lại đây, đừng giấu. Con tim anh đang muốn gần. Gọi tôi, gánh giúp tình ngàn cân. (Hãy) Nói về tình yêu, khi mùa hè. (Hãy nói về) Nụ hôn, khi mùa hè. Cùng tôi hát những lời kinh thơ trẻ. Mùa phượng bay. Vừa soi bóng ly nước đầy. Ngày hôm nay, sẽ không trở lại. Thời gian đi, cho lũ rêu úa xanh. Những lời mong chờ. Mùa hè ơi, tôi rất hư, anh rất hư. Nếu ta cứ chần chừ. Lại đây, hãy lại đây, đừng giấu. Con tim anh đang muốn gần. Để tôi, gánh giúp tình ngàn cân. (Hãy) Nói về tình yêu, khi mùa hè. (Hãy nói về) Nụ hôn, khi mùa hè. Cùng tôi hát những lời kinh thơ trẻ. Mùa phượng bay. Vừa soi bóng ly nước đầy. Ngày hôm nay, sẽ không trở lại. Thời gian đi, cho lũ rêu úa xanh. Những lời mong chờ. Mùa hè ơi, tôi rất hư. Anh rất hư, nếu ta cứ chần chừ. Mùa phượng bay vừa soi. Bóng ly nước đầy. Ngày hôm nay, sẽ không trở lại. Thời gian đi, cho lũ rêu úa. Xanh những lời mong chờ. Mùa hè ơi, tôi rất hư. Anh rất hư, nếu ta cứ chần chừ"
Mùa Hè Khốn Nạn,Various Artists,Kẹt xe quá!. Lấn nhau. Chen chúc không được đi!!. Dù Ninja Lead. Thì cũng không cách gì!. Mọi người mặt đầy mồ hôi. Chân tay lôi thôi.... Sao nhiều năm qua tắc. Luân phiên liên hồi!. Bực mình quá!. Những đêm hè nóng đã cực điên. Mà sao nó cứ liên tục cắt điện??. Chỉ vì Điện mà tôi. Cũng đang Điên Nặng đây!. Sao bọn ông lại cắt?. Ai cho các ông quyền?. Đời sinh viên gian khó. Gặp mùa hè thì càng kinh!. Mùi cơ thể theo gió xong cứ. Bay lởn vởn rồi sà vào mũi mình!. Thời tiết không ủng hộ. Chỉ cơn buồn ngủ là đồng minh. Tôi chẳng thèm biện hộ. Nhưng thầy giảng. Không khác gì tụng kinh!. Trời nắng như đổ lửa!. Và đời thì không màu hồng!. Tôi dù đang có chửa. Nhưng vẫn cứ phải. Xin lỗi mẹ chồng!. Xin lỗi vì những sai lầm. Mà con không hề gây ra!. Xin lỗi vì để mẹ làm vỡ bát. Trong bữa tối ngày hôm qua!. Cụt cả hứng!. Muốn ra ngồi uống vui vài chai. Tụ tập một tí ta cùng so tài!. Mà nhiệt độ này. Hình như đang hơi sai sai.... Sao mà rượu mặn chát.... Khó uống thế này?. Ngày tận thế.... Chắc cũng chỉ đến thế này thôi!. Loài người chắc. Sắp bốc hơi mất rồi!!. Trời sinh tôi sao còn sinh mùa hè?. Ác độc như Bá Kiến!!. Ai cho tôi lương thiện?. Tôi là Mr Sấu. Không thích mùa hè tí nào đâu!. Nhưng mà đường đang tắc. Càng mệt mỏi. Sẽ lại càng thấy lâu!. Thôi vui lên đi đằng nào. Cũng thế rồi!. Do ta âu lo. Nên tâm trạng càng thêm tồi!. Đằng nào. Cũng thế không thể khác. Không nên bi quan. Nên tươi cười và yêu đời!. Ở đây mình kẹt xe. Thì giúp nơi khác thông thoáng. Khối đại đoàn kết dân tộc. Chúng ta giúp nhau. Cùng tươi sáng!. Nếu nhà bị mất điện. Theo tôi bác không cần kiện!. Nên vui cùng. Hàng xóm láng Giềng. Lúc Tối Lửa khi tắt Đèn. Nhớ đến Nhau thật là Mãn nguyện!. Bình thường. Chẳng mấy khi gặp gỡ. Ngoảnh mặt làm ngơ.... Mất điện nhìn nhau chợt mừng rỡ. Ông bạn thủa ấu thơ!. Đằng nào thì cũng thế thôi. Nên là các ông cứ nghe tôi!. Ừ thì trời vẫn nóng. Nhưng lòng mình tội gì. Mà phải không vui!. Đừng than vãn!. Hãy nghĩ cuộc sống tích cực đi!. Nhìn này trong suốt. Trông phê quá đi!. Mẹ chồng thì ngày xưa. Từng là con dâu!. Đang là dâu thì cũng. Sẽ giống như mẹ chồng!. Đừng cay cú!. Các ông thì uống cái này đi!. Đằng nào cũng nóng. Bây giờ than cái gì!. Nào mọi người vào đây. Ta vui mừng đi!. Tôi làm cơ trưởng nhé!. Thôi vui lên nào!!!. Anh em mình là một gia đình. Mùa hè nóng tuy rất bực mình. Rất bực mình người cứ hôi rình. Dẫu hôi rình mình vẫn thân tình. Anh em mình lại lên nóc nhà!. Lên nóc nhà để làm ấm trà. Thêm lát chanh giải nhiệt thôi mà!. Tầm nay ai còn bắt con gà!. Đừng than vãn. Khóc than chẳng mát. Lên được đâu!. Hè thì vẫn nóng. Kêu nhiều thì nhức đầu!. Đại loại là mình vui lên đi anh em. Vui thì dù trời nóng. Cũng chẳng bõ bèn!. Cười lên nhé. Sẽ yêu mùa nắng lên vàng tươi.... Tựa như những lát chanh. Thật mát rượi. Bực mình làm gì đâu. Hỡi các mày ơi!!. Hãy mặc kệ trời nóng. Ta vẫn tươi cười!
Nhẹ (Nhắm Mắt Thấy Mùa Hè OST),Uyên Pím (Bệt Band),Bài Hát: Nhẹ (Nhắm Mắt Thấy Mùa Hè OST). Ca Sĩ: Uyên Pím (Bệt Band). Chẳng hiểu sao. Từ lúc bắt đầu. Ta tình cờ gặp nhau. Dù tới chốn nào. Em dù nắng hay mưa. Còn anh dù sáng hay trưa. Sẽ luôn tìm kiếm say sưa. Chốn bình yên. Rồi hồn nhiên. Ta thấy trong nhau. Một nửa ta tìm kiếm bấy lâu. Gió ngồi xuống nghỉ chân. Còn nắng chợt đến làm thân. Rồi bỗng cảm xúc ngả nghiêng. Bỗng ngả nghiêng. Và ngày qua lòng cứ vấn vương. Và rồi anh chợt bước đến bên. Em hãy đến bên anh. Để anh làm những ngày xanh. Của em của những ngày sau. Chuyện mình bắt đầu. Và rồi ta chẳng biết thế nào. Vội vàng quên đi những khát khao. Ta chẳng nói với nhau. Về em về anh về những góc riêng. Để giờ đây. Ta quay lưng đi. Không chào nhau. Không chào nhau. Không chào nhau. Không chào nhau. Ta chẳng nói với nhau. Về em về anh về những góc riêng. Vì vì ta chẳng nói với nhau. Về anh về những góc riêng. Vì ta chẳng nói với nhau. Về em về anh về những góc riêng. Vì ta chẳng nói với nhau. Về em về anh. Quay lưng đi không chào nhau. Không chào nhau
Bảy Bước Tới Mùa Hè,Đào Líuloo,Biết bao giờ cho tới mùa hè. Trong sân trường tràn tiếng ve. Nắng tô vàng đôi cánh nhỏ xinh. Bên hiên nhà em lắng nghe. Tiếng chim hót líu lo. Tiếng đùa vui khắp nơi. Cánh đồng thơm hương lúa. Ai tô một màu vàng. Biết bao giờ cho tới ngày xưa. Em vẫn còn là bé thơ. Má em hồng núng nính nhỏ xinh. Bên ông bà em rất thương. Biết vui múa hát ca. Biết nhảy dây bắn bi. Quên sầu quên ai oán. Không yêu chẳng hận thù. Ai kia vội kết mây vội kết trời. Bỏ quên tháng năm vội vã trôi. Thương thân phận trách than trời lỡ làng. Mình em với em biết bao giờ. Ai kia vội kết mây vội kết trời. Bỏ quên tháng năm vội vã trôi. Thương thân phận trách than trời lỡ làng. Mình em với em biết bao giờ. Chiều nào nấu cơm. Chiều nào bế em. Mẹ về với hai đồng bánh thơm. Chiều nào lớn lên. Ngồi khóc bên hiên nhà. Chiều nào ước ao biết bao giờ. Biết bao giờ cho tới mùa hè. Mây trên trời xanh rất xanh. Vẫn hiên nhà em bé cỏn con. Ước đâu cần chi lớn lên. Biết bao giờ
Mùa Hè Ngọt Ngào,"Phạm Quỳnh Anh, Weboys",Phạm Quỳnh Anh ft. Weboys. Monday. Cùng anh bước xuống phố. Bên anh. Say đắm với nắng hè. Hẹn anh Tuesday. Cùng đi bowling nhé. Rồi Wednesday. Em thích Audition. Thursday. Anh phải bận đi với mẹ. Rồi Friday. Tụi mình cùng đi shopping. Saturday. Hôm nay là cuối tuần. Sao mình không cùng đi cinê. Người yêu tôi ngoan lắm. Người yêu tôi dễ thương. Chỉ cần được bên em. Mọi buồn đau cũng sẽ qua. Người yêu tôi hay nói. Lời yêu thương với tôi. Dành trọn cho tôi. Những ấm áp của cuộc đời. Có những lúc. Chợt lòng tôi nghe buồn bã. Em luôn kề bên. Muốn được cùng tôi sẻ chia. Và có những lúc. Chỉ vì tôi em bật khóc. Con tim cứ nhói đau không ngừng. Cho tôi yêu em. Hơn cả bao giờ. Monday. Một ngày hè lung linh nắng. Cùng mommy. Em dạo bước giữa phố xinh. Mẹ về tặng cho em. Một cây son xinh xắn. Để Tuesday. Em rạng rỡ lúc bên anh. Wednesday. Hôm nay nhà có party. Bố nói mời bạn con tới chơi. Happy. Em đây thật bất ngờ. Ngọt ngào bên người yêu dễ thương. Người yêu tôi ngoan lắm. Người yêu tôi dễ thương. Chỉ cần được bên em. Mọi buồn đau cũng sẽ qua. Người yêu tôi hay nói. Lời yêu thương với tôi. Dành trọn cho tôi. Những ấm áp của cuộc đời. Có những lúc. Chợt lòng tôi nghe buồn bã. Em luôn kề bên. Muốn được cùng tôi sẻ chia. Và có những lúc. Chỉ vì tôi em bật khóc. Con tim cứ nhói đau không ngừng. Cho tôi yêu em. Hơn cả bao giờ. Người yêu tôi ngoan lắm. Người yêu tôi dễ thương. Chỉ nhìn em thôi. Mọi buồn đau cũng sẽ qua. Người yêu tôi hay nói. Lời yêu thương với tôi. Dành trọn cho tôi. Những ấm áp của cuộc đời. Có những lúc. Chợt lòng tôi nghe buồn bã. Em luôn kề bên. Muốn được cùng tôi sớt chia. Và có những lúc. Chỉ vì tôi em bật khóc. Con tim cứ nhói đau không ngừng. Cho tôi yêu em. Hơn cả bao giờ. Con tim cứ nhói đau không ngừng. Cho tôi yêu em. Hơn cả bao giờ. Con tim cứ nhói đau không ngừng. Cho tôi yêu em. Hơn cả bao giờ
Mùa Hè Đẹp Nhất,Trần Thu Hà, Nhất. Ca sĩ: Trần Thu Hà. Chiều mưa. Trên phố vắng. Ray rứt. Tiếng mưa buồn rơi. Ngày qua. Rất vội. Mây xám giăng mờ. Ngõ tối. Mùa Thu. Sao đã đến. Cho lá úa trên hàng cây. Và em có buồn. Khi lá bay?. Ai... đã cho em. Những ngày tháng. Huy hoàng. Ai.... đã cho em. Rộn ràng ấm êm. Ai.... đã đưa em. Lên gặp ánh sao trời. Ai... đã cho em. Mùa hè. Đẹp nhất trong đời. Chiều mưa. Trên phố vắng. Vẫn những tiếng mưa. Đều rơi. Màn đêm. Xuống rồi. Ai đón em khi. Chiều tới. Tình yêu. Em giữ mãi. Trong những lá. Thư còn ..đây. Và em. Vẫn buồn khi lá bay?. Anh.. đã cho em. Những ngày tháng. Huy hoàng. Anh đã cho em. Rộn ràng ấm êm. Anh... đã đưa em. Lên gặp ánh sao trời. Anh... đã cho em. Mùa Hè... đẹp nhất trong đời. Vào những đêm đông. Giá lạnh. Em nằm mơ. Em nằm mơ. Thành tia nắng ấm. Trong đôi mắt anh. Ta đã cho nhau. Những ngày tháng huy hoàng. Ta đã cho nhau. Rộn ràng ấm êm. Ta đã đưa nhau. Lên gặp ánh sao trời. Ta đã cho nhau. Mùa hè ..... Đẹp nhất.... trong đời ....
Nhạc Tình Đêm Mưa,Ngọc Lan,Bài Hát: Nhạc Tình Đêm Mưa. Trình Bày: Ngọc Lan. Mưa vẫn rơi rơi. Mưa giữa đêm khuya. Như tiếng tơ buông não nề. Khóc cho duyên nợ chia lìa. Giọt mưa vẫn rơi rơi. Bên mái hiên xưa. Đôi mắt ai vương u buồn. Tiếc thương cuộc tình cuối mùa. Nhạc mưa khẽ ru lời ngân nga. Nhạc mưa rớt trên ân tình phôi pha. Lòng tan nát như nghìn phiếm vỡ. Từ đêm gió mưa mang về nỗi nhớ. Bàn chân ai bước trong mộng mê. Lối đi về. Chốn cũ riêng ta lặng nghe. Từng giọt mưa. Từng giọt mưa rơi. Từ mắt lệ khóc ai. Khi tình chưa phai. Mưa vẫn rơi rơi. Mưa giữa đêm khuya. Như tiếng tơ buông não nề. Khóc cho duyên nợ chia lìa. Giọt mưa vẫn rơi rơi. Bên mái hiên xưa. Đôi mắt ai vương u buồn. Tiếc thương cuộc tình cuối mùa. Nhạc mưa khẽ ru lời ngân nga. Nhạc mưa rớt trên ân tình phôi pha. Lòng tan nát như nghìn phiếm vỡ. Từ đêm gió mưa mang về nỗi nhớ. Bàn chân ai bước trong mộng mê. Lối đi về. Chốn cũ riêng ta lặng nghe. Từng giọt mưa. Từng giọt mưa rơi. Từ mắt lệ khóc ai. Khi tình chưa phai. Từng giọt mưa. Từng giọt mưa rơi. Từ mắt lệ khóc ai. Khi tình chưa phai
Mùa Hè Vị Trái Cây,"HER, Kai Đinh","Bài Hát: Mùa Hè Vị Trái Cây. Ca Sĩ: HER, Kai Đinh. Hương thơm của trái đào. Trên môi anh quá ngọt ngào. Sáng sớm nhìn ra phố phường. Mà em ngỡ đang nhìn ra thiên đường. Mùa hè vị trái cây. Lòng mình quá đắm say. Những cơn mưa mát lành. Môi hôn chân thành. Dưới tán cây xanh. Mùa hè vị trái cây. Lòng mình say ngất ngây. Đừng mau tan biến mất. Điều trong xanh nhất. Em đã giữ gìn. Mưa rơi mưa rơi từng giọt. Trong vắt trên lá me. Tình yêu của đôi ta. Ngày từng ngày trôi qua. Baby it your let my summer. Hương thơm của trái đào. Trên môi em quá ngọt ngào. Sáng sớm nhìn ra phố phường. Mà anh ngỡ đang nhìn ra thiên đường. Mùa hè vị trái cây. Lòng mình quá đắm say. Những cơn mưa mát lành. Môi hôn chân thành. Dưới tán cây xanh. Mùa hè vị trái cây. Lòng mình say ngất ngây. Đừng mau tan biến mất. Điều trong xanh nhất. Anh đã giữ gìn. Mùa hè vị trái cây. Lòng mình quá đắm say. Những cơn mưa bất ngờ. Anh luôn đứng chờ. Như trong giấc mơ. Mùa hè vị trái cây. Lòng mình say ngất ngây. Đừng mau tan biến đi. Tất cả những gì anh đã giữ gìn. Mùa hè vị trái cây. Lòng mình say ngất ngây"
Khúc Ca Mùa Hè,Bé Trang Thư,Hè ơi hè ơi hè ơi có biết không. Hè sang hè sang hè mang niềm vui mới. Đàn chim vờn bay đàn chim đùa trong nắng. Cơn gió lao xao những khóm tre rì rào. Mùa hè nắng ấm cây lá đâm chồi. Chim hót líu lo vui say cùng nắng mới. Bạn ơi hãy đến vui với chúng tôi. Ta hãy hát vang những lời ca thân ái. Mùa hè nắng ấm cây lá đâm chồi. Chim hót líu lo vui say cùng nắng mới. Bạn ơi hãy đến vui với chúng tôi. Ta hãy hát vang ơi khúc ca mùa hè. Hè ơi hè ơi hè ơi có biết không. Hè sang hè sang hè mang niềm vui mới. Đàn chim vờn bay đàn chim đùa trong nắng. Cơn gió lao xao những khóm tre rì rào. Mùa hè nắng ấm cây lá đâm chồi. Chim hót líu lo vui say cùng nắng mới. Bạn ơi hãy đến vui với chúng tôi. Ta hãy hát vang những lời ca thân ái. Mùa hè nắng ấm cây lá đâm chồi. Chim hót líu lo vui say cùng nắng mới. Bạn ơi hãy đến vui với chúng tôi. Ta hãy hát vang ơi khúc ca mùa hè. Ta hãy hát vang ơi khúc ca mùa hè
Mùa Hè Không Độ,"NICKY ST.319, Han Sara",Mùa hè nóng bức đã đến rồi. Bao cuộc vui thì đang réo gọi. Lười ra đường vì nóng nóng nóng. Cần một chút không khí mát lạnh. Cần một ly trà to nhiều chanh. Tìm ở đâu đâu đâu. Làm gì có gì cool hơn 0 độ. Cool hơn 0 độ. Mùa hè không độ cool nhất trên đời. Làm gì có gì mát hơn 0 độ. Mát hơn 0 độ. Mùa hè không độ mát nhất trên đời. Who can be cooler than you. Who can be cooler than you. Em ở đâu trên núi hay biển xa. Mùa hè đến thì đi chơi thả ga. Cần giải nhiệt cuộc sống hối hả. Thì hãy đến mùa hè không độ cùng ta. Vì ở đó có trà và có chanh. Trà chanh tươi mát. Và đặc biệt là có anh. Nếu như anh là người được em chọn. Mùa hè không độ. Là sự lựa chọn của đôi ta. Làm gì có gì cool hơn 0 độ. Cool hơn 0 độ. Mùa hè không độ cool nhất trên đời. Làm gì có gì mát hơn 0 độ. Mát hơn 0 độ. Mùa hè không độ mát nhất trên đời. Who can be cooler than you. Who can be cooler than you. Làm gì có gì cool hơn 0 độ. Cool hơn 0 độ. Mùa hè không độ cool nhất trên đời. Làm gì có gì mát hơn 0 độ. Mát hơn 0 độ. Mùa hè không độ mát nhất trên đời. Who can be cooler than you
Đi Chơi Biển Mùa Hè,Bé Bảo Ngọc,Bài Hát: Đi Chơi Biển Mùa Hè. Ca Sĩ: Bé Bảo Ngọc. Mùa hè em đi ra biển chơi. Nhìn cát trắng trải dài dưới nắng vàng. Từng con sóng xô bờ. Đuổi bắt nhau ôi thật vui. Mùa hè em đi ra biển chơi. Cùng xây những lâu đài bằng cát này. Cùng tắm biển xong nằm nghe. Sóng rì rào ngoài khơi. Ôi biển xanh thật trong xanh quá. Em chỉ muốn bơi cả mùa hè. Ôi biển xanh thật nhiều tôm cá. Muốn ăn hoài thật no. Mùa hè em đi ra biển chơi. Nhìn cát trắng trải dài dưới nắng vàng. Từng con sóng xô bờ. Đuổi bắt nhau ôi thật vui. Mùa hè em đi ra biển chơi. Cùng xây những lâu đài bằng cát này. Cùng tắm biển xong nằm nghe. Sóng rì rào ngoài khơi. Ôi biển xanh thật trong xanh quá. Em chỉ muốn bơi cả mùa hè. Ôi biển xanh thật nhiều tôm cá. Muốn ăn hoài thật no. Mùa hè em đi ra biển chơi. Nhìn cát trắng trải dài dưới nắng vàng. Từng con sóng xô bờ. Đuổi bắt nhau ôi thật vui. Mùa hè em đi ra biển chơi. Cùng xây những lâu đài bằng cát này. Cùng tắm biển xong nằm nghe. Sóng rì rào ngoài khơi. Ôi biển xanh thật trong xanh quá. Em chỉ muốn bơi cả mùa hè. Ôi biển xanh thật nhiều tôm cá. Muốn ăn hoài thật no. Ôi biển xanh thật trong xanh quá. Em chỉ muốn bơi cả mùa hè. Ôi biển xanh thật nhiều tôm cá. Muốn ăn hoài thật no
Mùa Hè,TyMyTy,Mưa nhẹ nhàng chợt về trên phố em. Mưa êm đềm một chiều. Qua sân trường em. Mùa hè lắng tiếng hát của tuổi thơ. Bên những hàng cây xanh. Theo tháng năm. Phố trẻ lại vì chiều nay có mưa. Khắp lối về phượng hồng. Vui trong ngây thơ. Mùa hè đến hát trong niềm yêu thương. Để nụ cười vẫn nở với em đêm ngày. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về gọi em ngân vang khúc nhạc. Mưa nhẹ nhàng chợt về trên phố em. Mưa êm đềm một chiều. Qua sân trường em. Mùa hè lắng tiếng hát của tuổi thơ. Bên những hàng cây xanh. Theo tháng năm. Phố trẻ lại vì chiều nay có mưa. Khắp lối về phượng hồng. Vui trong ngây thơ. Mùa hè đến hát trong niềm yêu thương. Để nụ cười vẫn nở với em đêm ngày. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về gọi em ngân vang khúc nhạc
